"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"75","Certified Financial Planner (CFP)",50891.96,60359.32,72345.41,87422.51,100838.44
"76","Tax Director",55000,114803.09,130224.62,154852.07,162067.54
"77","Senior Compliance Analyst",64827.51,70543.88,76763.88,83516.75,87275.7
"78","Payroll Accountant",43231.3,52865.41,58264.26,59473.69,59366.07
"79","Senior Manager Auditor",99497.49,117303.19,128690.05,132054.93,NA
"80","Financial Accountant",48431.4,53996.34,59522.14,60586.19,60939.19
"81","Vice President, Compliance Officer",110069.94,118337.55,131850.41,146606.6,NA
"82","Senior Analyst, Finance",63915.42,74705.83,80360.24,85486.94,88626.7
"83","Senior Tax Associate",72280.05,78241.84,88414.31,NA,NA
"84","Paraplanner",43055.98,45720.77,53489.59,58447.37,53338.83
"85","Fraud Analyst",17.5,18.57,20.74,20.22,21.94
"86","Auditing Manager",80553.11,89553.05,98406.06,104654.3,NA
"87","Bank Manager",50565.18,54751.96,61712.22,64497.71,67784
"88","Compliance Auditor",49690.29,54971.82,59948.41,72394.84,74376.01
"89","Treasury Manager",61294.16,79450.81,93595.9,100291.96,98700.12
"90","Senior Information Technology (IT) Auditor",82346.9,91542.3,102790.76,107139.86,NA
"91","Quantitative Analyst",75905.21,83077.95,109828.93,105945.4,115000
"92","Treasurer",51495.15,57730.82,64296.51,99262.33,118669.16
"93","Internal Audit Director",114235.81,121293.38,137750.99,139116.77,NA
"94","Senior Tax Analyst",74480.56,80585.81,86141.07,83504.84,NA
"95","Commercial Credit Analyst",50039.11,55402.2,64536.29,69106.8,70317.83
"96","Risk Management Analyst",59566.3,67830.72,79762.7,80940.92,88275.05
"97","Financial Specialist",16.37,17.22,18.38,19.64,19.03
"98","Loan Officer, Commercial",48275.71,62319.81,74209.22,92094.54,102464.4
"99","Enrolled Agent",16.48,20.33,23.01,22.83,25.19
"100","Vice President & Branch Manager, Banking",71314.36,71799.3,76473.67,79825.91,NA
"101","Administrative Assistant",14.93,15.57,16.66,17.57,18.44
"102","Office Manager",15.79,17.03,18.69,19.76,20.65
"103","Executive Assistant",44671.99,50579.47,58428.45,62365.82,64024.23
"104","Customer Service Representative (CSR)",13.12,14.21,15.08,15.52,16.12
"105","Data Analyst",57131.08,61847.71,70030.98,71931.66,74157.98
"106","Bookkeeper",15.13,16.41,18.81,19.72,20.21
"107","Receptionist",12.27,13.11,13.97,14.72,14.99
"108","Office Administrator",15.28,16.16,17.46,18.42,19.54
"109","Administrative Coordinator",16.86,17.95,19.22,20.16,21.35
"110","Human Resources (HR) Specialist",45708.24,50430.13,55812.02,58109.06,60391.61
"111","Human Resources (HR) Assistant",16.24,17.29,18.01,18.51,18.76
"112","Customer Success Manager",55243.19,65194.41,77137.53,88335.2,99320.04
"113","Administrative / Office Manager",15.55,16.87,17.7,19.15,20.01
"114","General Ledger Accountant",48748.74,54380.26,61730.89,61014.05,63787.25
"115","Accounts Payable Specialist",17.4,18.48,19.41,19.97,20.14
"116","Customer Service Supervisor",13.89,14.7,16.22,17.12,18.12
"117","Customer Service Specialist",14.38,15.22,16.06,16.55,17.32
"118","Office Assistant",13.2,14.07,14.75,15.19,15.51
"119","Business Manager",51081.62,56821.63,66198.14,69928.65,69030.94
"120","Customer Service Associate",11.57,11.98,12.66,13.62,13.74
"121","Payroll Specialist",17.75,19.25,21.46,21.95,23.22
"122","Senior Data Analyst",72125.89,80310.41,86756.96,89919.76,93816.56
"123","Accounts Receivable Specialist",16.52,17.69,18.62,19.31,20.04
"124","Payroll Manager",54841.95,60707.4,67575.48,73483.14,76477.78
"125","Accounts Payable Clerk",15.35,16.09,17.18,17.91,18.38
"126","Executive Assistant to CEO",45229.53,55171.89,62717.87,67562.42,70156.7
"127","Logistics Coordinator",16.76,17.82,18.85,20.31,21.65
"128","Finance Assistant",15.95,16.77,17.81,19.44,19.97
"129","Office Coordinator",15.86,16.69,17.74,18.28,19.41
"130","Medical Receptionist",13.33,14.15,14.95,15.37,16.02
"131","Legal Secretary",38582.21,43193.26,49790.58,59342.47,66095.43
"132","Accounting Assistant",15.58,16.68,18.18,18.55,19.05
"133","Accounting Clerk",15.3,16.34,17.53,17.83,17.94
"134","Executive Administrative Assistant",40274.22,47362.9,51427.36,54556.26,57279
"135","Secretary",12.21,13.37,14.56,14.91,16.03
"136","Senior Customer Service Representative (CSR)",16.3,16.99,17.81,17.99,19.07
"137","Stocker",11.16,11.33,12.11,12.75,14.51
"138","Sr. Administrative Assistant",18.61,20.53,21.63,22.79,24.02
"139","Payroll Administrator",17.97,19.66,21.41,22.46,23.39
"140","Office Manager, Medical Office",16.65,17.8,18.96,19.8,21
"141","Medical Biller",14.45,15.67,17.39,18.37,19.01
"142","Dental Office Manager",19.03,20.41,22.2,24.31,25.28
"143","Billing Specialist",15.77,16.53,17.75,18.52,19.31
"144","Research Associate (Unspecified Type)",49622.46,53086.34,60908,65903.47,71666.96
"145","Accounting Administrator",15.87,19.32,20.31,20.43,20.46
"146","Contract Administrator",51539.45,57993.53,65086.6,69543.98,72375.22
"147","Personal Banker",16.6,17.47,18.53,18.83,19.42
"148","Patient Services Representative",14.76,15.31,16.22,16.86,17.53
"149","Medical Billing Specialist",15.13,16.05,17.6,18.25,19.19
"150","Accounting Specialist",17.98,18.77,19.8,20.71,21.58
"151","Production Planner, Manufacturing",51797.19,56036.51,62601.87,66176.94,68936.22
"152","Sales Coordinator",15.15,16.3,18.32,19.09,19.64
"153","Teller",13.45,13.95,14.48,14.95,15.37
"154","Business Office Manager",45329.59,48768.39,51571.13,55032.33,55435.18
"155","Patient Care Coordinator",15.62,16.68,17.73,18.57,19.8
"156","Customer Service Team Leader",12.41,15.06,16.67,17.87,17.81
"157","Full Charge Bookkeeper",16.44,18.94,20.26,21.24,21.88
"158","Personal Assistant",14.16,15.17,17.17,19.41,20.08
"159","Bank Teller",13.17,13.86,14.13,14.77,15.21
"160","Front Desk Receptionist",11.9,12.66,14.37,14.81,15.39
"161","Accounts Payable Manager",50672.44,57405.9,61991.27,65157.63,67752.63
"162","Front Desk Receptionist, Medical Office",12.79,13.8,15.01,15.43,15.8
"163","Billing Manager",46702.36,53287.09,57354.07,61348.25,61473.76
"164","Accounts Receivable Clerk",15.33,15.99,16.83,17.42,17.94
"165","Patient Access Representative",13.88,14.95,15.86,16.91,17.54
"166","Member Service Representative",11.69,13.44,15.68,16.36,16.99
"167","Collections Specialist",15.49,16.62,18.17,19.25,19.83
"168","Service Team Leader",10.95,13.32,17.82,19.61,18.36
"169","Care Coordinator",17.09,17.77,19.01,20.72,24.21
"170","Senior Executive Assistant",47706.63,60681.93,68532.64,70583.04,74607.08
"171","Surgery Scheduler",16.04,16.48,17.71,19,19.74
"172","Office Clerk, General",12.77,13.75,14.28,14.93,15.52
"173","Logistics Specialist",44972.13,48743.64,53609.88,59453.97,62047.49
"174","Administration Assistant",14.79,15.62,16.6,17.36,18.39
"175","Data Entry Clerk",13.59,13.93,14.47,15.15,15.11
"176","Fleet Dispatcher (Trucking & Transportation)",14.54,15.93,17.4,18.36,19.05
"177","Accounting Associate",48992.5,48508.26,49511.74,49117.65,49393.95
"178","Inventory Manager",45597.6,50033.55,56797.6,60727.11,64008.94
"179","Human Resources Information Systems Analyst (HRIS)",54003.84,63929.2,73755.27,78435.8,83328.52
"180","Data Processor",14.05,15.2,16.65,17.05,18.54
"181","Payroll Coordinator",17.05,18.95,20.82,21.71,22.88
"182","Accounts Receivable Manager",46667.94,54372.11,59465.3,64298.47,62480.62
"183","Administrative Manager",48550.31,53686.37,59912.17,62836.02,66019.57
"184","Administrative Associate",40459.57,41794.66,45880.31,46165.59,44868.84
"185","Call Center Representative",13.54,14.36,15.48,16.39,15.52
"186","Production Scheduler",51049.44,52961.2,57302.92,62256.92,64317.32
"187","Front Desk Agent",11.15,11.82,12.05,12.42,13.31
"188","Administrative Specialist",16.47,17.49,18.86,19.53,20.13
"189","Client Services Associate",46806.84,50027.24,55109.84,52066.51,49773.57
"190","Patient Account Representative",14.92,15.91,17.06,18.08,18.5
"191","Payroll Clerk",15.38,16.68,17.63,18.23,19.2
"192","Medical Secretary",14.05,15.07,16.25,17.31,17.81
"193","Demand Planner",58235.62,64470.07,74122.32,79251.71,79923.02
"194","Executive Secretary or Administrative Assistant",16.11,16.98,18.14,18.99,20.87
"195","Scheduling Coordinator",15.28,16.2,17.24,18.17,18.39
"196","Produce Clerk (Grocery)",10.94,11.71,12.87,13.74,15.47
"197","Accounts Payable Coordinator",16.73,18.51,19.58,20.26,20.48
"198","Mortgage Loan Processor",16.65,17.62,19.57,20.86,20.72
"199","Human Resources (HR) Associate",45584.76,50335.59,55802.2,50097.55,51821.73
"200","Volunteer Coordinator",15.71,16.95,18.51,19.51,19.43
"201","Crew Leader",10.39,11.93,15.44,17.66,19.84
"202","Farm Manager",40570.12,46231.07,49849.81,52436.4,54073.09
"203","Farm Hand",11.1,11.84,13.3,13.99,13.18
"204","Farmer",11.47,12.82,13.61,14.48,19
"205","Kennel Manager, Dog Boarding",10.45,13.05,13.9,13.47,15
"206","Farm Worker",10.36,12.27,13.47,14.67,13.12
"207","Ranch Manager",40983.68,42752.71,46871.54,49378.13,NA
"208","Medical Marijuana Grower",13.79,14.99,17.62,18.31,20
"209","Animal Shelter Manager",34000,36366.22,37323.51,42000,38000
"210","Farmworker, Farm and Ranch Animals",10.5,11.6,12.29,12.77,15.4
"211","Grader",13.34,14.92,15,20.35,17.87
"212","Farmworker / Laborer, Crop, Nursery, or Greenhouse",11.72,11.87,12.18,12.38,13
"213","Farm, Ranch, or Other Agricultural Manager",44000,50000,55360,54750,NA
"214","Farm Worker/Crop Field",10.51,13.48,14.11,12.51,17.49
"215","Logger",11,15.39,17.4,20.35,22
"216","Dog Kennel Manager",12.49,15,16,18,NA
"217","Grader / Sorter, Agricultural Products",10.85,12.77,12,16.35,NA
"218","Biomass Collector, Separator, or Sorter",10.72,11.16,11.66,NA,NA
"219","Agricultural Equipment Operator",13.42,14.08,14.38,21,NA
"220","Agricultural Inspector",39733.12,39769.93,43348.84,44449.44,50000
"221","Animal Care Supervisor",15.26,18,23.78,NA,NA
"222","Farm Labor Contractor",12.77,14.63,17,16.28,NA
"223","Baler Operator",13.45,14.65,NA,NA,NA
"224","Cannabis Cultivator",15,17,NA,NA,NA
"225","General Manager, Farm",61390.66,66466.17,60678.22,60000,NA
"226","Agriculture Laborer",11.24,12.31,11,11.25,NA
"227","Swamper",15,17,20.95,NA,NA
"228","Livestock Farmworker",13.71,12,14,NA,NA
"229","Logging Equipment Operator",17.18,19.67,19,23,NA
"230","Farm Machinery Operator",10,16,13.9,19.18,NA
"231","Log Grader / Scaler",15.17,17.18,16.87,25,NA
"232","Dog Day Care Manager",13,14.55,NA,NA,NA
"233","Cattle Manager",35000,45000,NA,NA,NA
"234","Farmer Field Crop",14,NA,NA,NA,NA
"235","Chainsaw Operator Logging",15.53,NA,NA,NA,NA
"236","Farm Worker Supervisor",14.25,NA,NA,NA,NA
"237","Faller",30.49,58.96,NA,NA,NA
"238","Breeding Manager",40000,46500,52000,NA,NA
"239","Fishing Vessel Deckhand",NA,NA,NA,NA,NA
"240","Marijuana Cultivator",14,NA,NA,NA,NA
"241","Master Grower",65000,NA,NA,NA,NA
"242","Animal Breeder",13,11.91,NA,NA,NA
"243","Animal Caretaker Supervisor",NA,NA,NA,NA,NA
"244","Brood Hatchery Manager",41500,70000,NA,NA,NA
"245","Dog Day Care Assistant Manager",12.5,NA,NA,NA,NA
"246","General Nursery Laborer",10.48,10.39,NA,NA,NA
"247","Artificial Insemination (AI) Technician",NA,NA,NA,NA,NA
"248","Breeding Technician",38250,NA,NA,NA,NA
"249","First-Line Supervisor / Manager of Farming, Fishing, and Forestry Workers",11.05,NA,NA,NA,NA
"250","Longliner Fisherman",NA,NA,NA,NA,NA
"251","Apple Sorter",11.2,NA,NA,NA,NA
"252","Artificial Inseminator",NA,NA,NA,NA,NA
"253","Mechanical Engineer",64057.17,69938.86,81310.58,92924.3,102506.42
"254","Project Engineer",61562.36,67027.33,79437.99,91505.52,102896.96
"255","Electrical Engineer",68135.66,73547.53,85946.16,100320.18,114320.49
"256","Civil Engineer",59408.9,64430.82,76704.82,89681.72,100571.76
"257","Manufacturing Engineer",63438.68,69016.27,77789.99,83338.07,85939.81
"258","Process Engineer",66875.12,72479.58,84627.4,94243.1,93550.39
"259","Building Information Modeling (BIM) Coordinator",52305.22,58203.23,67134.78,69414.91,68557.38
"260","Field Service Technician",16.96,19.38,22.62,25.05,26.19
"261","Design Engineer",61745.05,66569.1,75761.47,83163.1,88529.53
"262","Senior Mechanical Engineer",92453.39,90575.4,96447.86,105101.41,113524.01
"263","Structural Engineer",62229.13,67166.76,79333.49,93078.87,107418.38
"264","Architectural Designer",48610,52897.76,60841.59,67588.75,65566.87
"265","Engineering Technician",19.07,20.38,24.18,27.05,30.33
"266","Aerospace Engineer",70406.31,78613.61,95952.06,113986.3,135003.66
"267","Controls Engineer",65724.39,72785.3,84953.31,94305.24,100142.34
"268","Director of Engineering",109952.73,116015.78,129588.98,149263.4,153032.5
"269","Electronics Technician",16.56,19.07,22.87,24.84,25.7
"270","Mechanical Design Engineer",63928.01,69255.89,79418.07,86396.33,85602.21
"271","Senior Electrical Engineer",96679.28,95846.66,101209.82,110465.81,118811.94
"272","Project Manager, Engineering",67309.36,78380.07,92452.07,106689.77,118105.76
"273","Test Engineer",66692,71669.11,82079.31,91878.91,101708.03
"274","Industrial Engineer",62698.05,68360.23,79815.59,85256.08,87518.89
"275","Environmental Health & Safety (EHS) Manager",62473.68,70224.79,82803.96,92506.41,96704.67
"276","Staff Engineer",59192.45,65448.68,113723.65,131077.09,135772.6
"277","Mechanical Designer",53953.23,57239.32,60127.24,65547.85,71562.11
"278","Quality Assurance (QA) Technician",16.74,17.64,18.86,20.03,20.51
"279","Chemical Engineer",68510.89,73636.12,90429.6,104020.29,125540.14
"280","Computer Aided Design (CAD) Drafter",16.38,18.24,21.03,22.77,23.94
"281","Field Engineer",62566.73,64726.45,70738.51,75287.37,82597.36
"282","Environmental Engineer",58342.1,63633.26,76437.51,93324.64,104161.49
"283","Quality Control (QC) Technician",16.83,17.58,19.02,19.96,20.81
"284","Field Service Engineer",60744.78,65673.11,72143.54,75328.26,79540.03
"285","Senior Project Engineer",78271.62,83501.41,91528.47,102357.3,110922.31
"286","Vice President (VP), Engineering",142456.14,137579.43,154958.83,175377.04,182244.97
"287","Safety Coordinator",18.01,19.22,23.01,24.03,24.65
"288","Program Manager, Engineering",81509.84,94450.35,106908.7,123907.71,129668.56
"289","Civil Engineer in Training",57865.15,59838.46,62886.06,64000,65000
"290","Architect (but not Landscape or Naval)",50459.64,57835.77,66872.84,79271.89,89956.43
"291","Automation Engineer",64855.72,73077.18,86859.74,94409.95,99708.09
"292","Computer Aided Design (CAD) Designer",17.28,19.88,23.45,25.74,29.6
"293","Design Architect",50742.3,55715.39,66553.5,83302.94,105674.07
"294","Senior Engineering Manager",133303.98,138094.34,152649.86,151322.53,NA
"295","Chief Engineer",50970.25,53704.75,68839.91,91366.47,100422.88
"296","Manufacturing Engineering Manager",87223.65,87074.8,96672.13,109191.96,116105.71
"297","Research and Development Engineer",69415.56,74122.22,86606.66,99724.74,105218.16
"298","Supplier Quality Engineer (SQE)",63496.25,72446.42,82737.88,85727.07,88784.21
"299","Landscape Architect",49145.91,53610.64,63693.27,73245.15,80460.53
"300","Control Systems Engineer",71364.32,75699.01,87986.06,101253.09,108978.41
"301","Research Engineer",74290.52,79337.93,90869.28,108886.4,117446.81
"302","Landscape Designer",47984.2,50945.9,54960.22,54513.84,51706.06
"303","Senior Project Manager, Engineering",103569.33,110063.16,118832.06,126688.04,NA
"304","Design Engineering Manager",81342.18,88056.91,99772.33,112810.23,119753.64
"305","Site Reliability Engineer (SRE)",83016.4,103619.63,122799.86,135475.44,138013.98
"306","Senior Manufacturing Engineer",76296.65,86592.4,92785.64,97182.74,100047.47
"307","Engineering Intern",17.29,18.22,25.31,NA,NA
"308","Intern Architect",44895.9,47390.88,54378.68,59143.14,60000
"309","Principal Systems Engineer",71491.13,103500.33,121916.42,136282.1,143872.92
"310","Validation Engineer",65709.42,73719.28,90171.67,98108.98,107547.96
"311","Materials Engineer",67659.4,74860.38,88428.54,96932.45,127450.98
"312","Project Manager, Architecture",50868.24,57364.01,69921.88,84043.91,91306.94
"313","Quality Engineer, Medical Devices",62286.6,71182.36,85313.5,95528.33,95204.93
"314","Senior Quality Assurance (QA) / Test Automation Engineer",65327.62,84339.32,95318.48,101622.18,104663.67
"315","Mechanical Engineering Manager",96817.61,91945.7,104162.98,118955.02,126534.22
"316","Project Management Director",80000,88345.78,111839.37,129722.09,144459
"317","Reliability Engineer",69832.1,80074.09,97677.99,107559.94,114777.1
"318","Manufacturing Technician",18.37,19.33,20.58,23.09,25.28
"319","Electrical Design Engineer",66756.16,71127.66,84114.71,103762.39,114328.53
"320","Electrical Designer",24.04,25.02,28.4,30.59,36.21
"321","Senior Mechanical Design Engineer",73107.01,83307.97,89353.2,98496.31,104982.39
"322","Radio Frequency (RF) Engineer",73057.54,81482.02,99522.02,106481.01,116447.07
"323","Production Technician",15.82,17.18,19.53,20.48,23.27
"324","Computer Aided Design (CAD) Technician",16,18.53,21.68,22.59,24.85
"325","Quality Assurance (QA) / Quality Control (QC) Engineer",59387.32,63771.19,72795.92,74652.93,79635.64
"326","Architectural Intern",15.99,17.65,19.79,25.31,NA
"327","Hardware Engineer",78444.2,83397.86,99236.94,117193.07,126704.36
"328","Senior Principal Engineer",121223.65,131920.37,141438.93,152009.21,NA
"329","Production Engineer",62602.97,70054.21,83853.02,80598.69,89814.23
"330","Project Engineer, Construction",60742.16,65283.97,74322.06,76945.08,95000
"331","Aerospace Systems Engineer",73841.21,80683.94,94938.71,115859.23,130951.59
"332","Senior Test Engineer",1e+05,90976.44,94979.08,104833.27,112023.86
"333","Geotechnical Engineer",59831.03,65235.69,75674.79,92295.15,106500.29
"334","AutoCAD Designer",17.78,19.61,22.81,25.58,30.25
"335","Biomedical Engineer",62774,68308.94,83302.51,96425.8,90872.25
"336","Packaging Engineer",61857.2,68573.82,78256.19,88684.41,95982.98
"337","Electronics Engineer",69888.51,76037.73,89122.34,98443.42,108163.98
"338","Land Surveyor",15.88,17.42,22.89,24.81,27.61
"339","Safety Officer",17.52,19.09,20.41,23.5,25.97
"340","Transportation Engineer",61526.95,66550.25,78861.09,91809.39,103386.67
"341","Water Resources Engineer",60376.63,66235.13,76614.87,97429.08,108839.81
"342","Electrical Technician",17.23,19.83,22.48,24.87,27.45
"343","Survey Party Chief",19.91,22.58,24.31,24.88,NA
"344","System Integration Engineer",70498.3,79925.44,93182.25,101899.36,118893.88
"345","Principal Mechanical Engineer",97778.24,108578.68,119927.35,128589.1,NA
"346","Architectural Drafter",17.7,19.13,21.55,22.39,23.58
"347","Senior Structural Engineer",83342.86,93370.57,104623.99,113457.05,NA
"348","Senior Civil Engineer",78510.86,91906.6,99730.49,101977.58,NA
"349","Principal Electrical Engineer",108138.09,124597.58,128547.22,137414.38,NA
"350","Quality Control (QC) Specialist",17.21,18.95,19.92,21.84,23.96
"351","Engineering Supervisor",72859.75,82623.63,96518.29,108233.15,112811.45
"352","Manufacturing Process Engineer",64371.26,73520.31,82124.06,87397.05,87536.47
"353","Graphic Designer",39579.82,44654.55,50151.47,51558.6,53147.9
"354","Senior Graphic Designer",57554.47,62782.59,65483.62,67734.79,NA
"355","UX Designer",64680.98,73060.15,84974.52,94830.73,94488.9
"356","Interior Designer",41229.92,48693.07,56747.78,60484.1,60130.61
"357","Creative Director",51073.85,59846.09,80253.06,102988.08,106954.31
"358","Art Director",54261.79,59560.8,71268.68,76950.08,74220.21
"359","Product Designer",72641.88,83908.9,96859.11,100329.24,80437.29
"360","Merchandiser",13.17,13.23,13.48,14.17,14.44
"361","Product Engineer",65079.87,69869.26,78485.54,86932.64,92204.92
"362","User Experience Designer",65625.62,73988.52,87638.82,95031.15,111587.43
"363","Product Development Engineer",65825.77,71814.71,82597.11,91567.08,99986.17
"364","Web Designer",43694.51,49566.11,58011.07,61473.76,62333.23
"365","Senior UX Designer",97434.37,105285.84,111279.31,117091.14,NA
"366","Junior Graphic Designer",40424.48,42345.83,44297.48,43448.28,48453.61
"367","Senior Product Designer",116622.47,122833.64,127519.03,119873.86,NA
"368","Industrial Designer",50209.26,56803.58,67511.84,79909.04,91502.51
"369","Graphic Artist / Designer",39139.57,44429.09,52208.48,55013.1,62764.01
"370","Senior Interior Designer",61859.65,66804.23,73840.12,75301.38,NA
"371","3D Artist",42674.45,50865.34,61252.35,70176.6,75243.12
"372","Fashion Designer",53564.82,57778.25,68646.56,83251.58,90986.18
"373","Visual Designer",54808.61,62600.5,72834.07,76325.06,76151.31
"374","Motion Graphic Designer",48373.66,54508.62,65594.84,70553.9,71000
"375","Retail Merchandiser",11.81,12.22,12.49,12.93,12.9
"376","Senior User Experience Designer",92591.84,103014.44,110220.94,121417.88,NA
"377","Sr. Art Director",78225.27,84110.66,87142.56,84205.9,NA
"378","3D Artist",42674.45,50865.34,61252.35,70176.6,75243.12
"379","Digital Designer",48889.21,53372.74,59917.17,65552.56,69187.84
"380","Creative Services Manager",51355.52,59967.74,68852.79,73931.6,84386.95
"381","Graphic Artist",13.32,15.93,17.61,18.46,18.97
"382","Junior Interior Designer",41192.67,45046.73,51295.09,60000,NA
"383","Lead UX Designer",93073.92,114568.51,127071.8,134799.68,NA
"384","Floral Designer",12.05,12.63,14.05,14.48,14.91
"385","Visual Merchandiser",13.94,15.64,16.81,16.96,16.48
"386","Production Artist",14.87,17.27,18.53,20.22,20.77
"387","Fire Sprinkler Designer",18.19,20.38,24.16,25.92,30.68
"388","Designer, Kitchen",14.54,16.32,17.27,19.6,20.2
"389","Product Design Engineer",61672.06,69472.22,79179.57,82707.44,86503.43
"390","User Experience Director",102047.49,131785.76,142708.21,156425.07,NA
"391","Graphic Design Specialist",43538.43,45331.87,51079.62,58750.26,59570.99
"392","Project Manager, Interior Design",43348.84,51750.17,63226.8,72531.07,83480.37
"393","Multimedia Designer",40968.2,49673.32,55620.37,67932.62,68895.19
"394","Animator",50056.67,56621.89,64067.33,75349.56,58910.57
