"","job_title","Company","Salary"
"66","Pharmacist","Hanley-Wood, LLC",55000
"67","Pharmacist","Lonza, Inc.",54784.26
"68","Pharmacist","Kaufman, Rossin & Co.",60102.97
"69","Pharmacist","WPP Group",60000
"70","Pharmacist","The Northwestern Mutual Life Insurance Company",44330.18
"71","Pharmacist","QEP",46000
"72","Pharmacist","Reading Municipal Light Department",64861.54
"73","Pharmacist","Van Metre Companies",52725
"74","Pharmacist","HMC Architects",NA
"75","Pharmacist","Hyatt Hotels",40000
"76","Pharmacist","Indianapolis Symphony Orchestra",40620.68
"77","Pharmacist","James Moore & Company",54687.57
"78","Pharmacist","Jones Lang LaSalle",50864.84
"79","Pharmacist","Kaiser Permanente",NA
"80","Pharmacist","CallTower",45125
"81","Pharmacist","Greenbrier Valley Medical Center",48867.74
"82","Pharmacist","Dynalectric Company",67015.72
"83","Pharmacist","Gannett Co Inc",48453.61
"84","Pharmacist","Georgia-Pacific Corporation",50000
"85","Pharmacist","Goodwill Industries",NA
"86","Pharmacist","Eks&H",54691.04
"87","Pharmacist","Healthcomp",NA
"88","Pharmacist","Hilton Worldwide",NA
"89","Pharmacist","FutureNet Group",45781.42
"90","Pharmacist","Gallina LLP",61176.47
"91","Pharmacist","Diamond Resorts International",NA
"92","Pharmacist","Deloitte & Touche LLP",50822.39
"93","Pharmacist","Katz, Sapper & Miller",52059.57
"94","Pharmacist","Inspire Group",49000
"95","Pharmacist","Hutchinson and Bloodgood Llp",55500
"96","Pharmacist","MTC Federal Credit Union",NA
"97","Pharmacist","Nexstar Broadcasting Group, Inc.",49238.58
"98","Pharmacist","Northwestern Water and Sewer District",58840.4
"99","Pharmacist","Omni Hotels Corporation",NA
"100","Pharmacist","Planned Parenthood",53988.27
"101","Pharmacist","Ventera Corporation",51456.31
"102","Pharmacist","Republic Services Inc",59200
"103","Pharmacist","The Rehmann Group",56281.23
"104","Pharmacist","Time Warner Cable Company",50000
"105","Pharmacist","University of Rochester",48188
"106","Pharmacist","Arrow Electronics Inc",66940.3
"107","Pharmacist","PSAV",53274.45
"108","Pharmacist","Suzlon Wind Energy Corp",69338.7
"109","Pharmacist","T. Rowe Price Group",55672.15
"110","Pharmacist","Teledyne Brown Engineering, Inc.",49131.5
"111","Pharmacist","Terumo Medical Corporation",61481.41
"112","Pharmacist","The CPA Group",57000
"113","Pharmacist","The Intersect Group",41750
"114","Pharmacist","FirstService Residential",NA
"115","Pharmacist","HCA, Inc.",45978.26
"116","Pharmacist","YMCA",47500
"117","Pharmacist","Abc Corp.",45279.22
"118","Pharmacist","Mountain States Health Alliance",46675.17
"119","Pharmacist","Steris Corp.",55084.76
"120","Pharmacist","Marriott International, Inc.",NA
"121","Pharmacist","Dish Network Corporation",57999.25
"122","Pharmacist","SS&C Technologies, Inc.",50500
"123","Pharmacist","Price Waterhouse Cooper Ltd",57213.93
"124","Pharmacist","Ostrow Reisin Berk & Abrams",57720.78
"125","Pharmacist","Racetrac Petroleum",55000
"126","Pharmacist","Cohen & Company",50990.45
"127","Pharmacist","THK Manufacturing of America",54385.11
"128","Pharmacist","The Four Seasons Hotels & Resorts",55000
"129","Pharmacist","BDO Seidman, LLP",54683.84
"130","Pharmacist","Brown Smith Wallace, L.L.C.",49000
"131","Pharmacist","C&S Companies",53236.98
"132","Pharmacist","Caesars Entertainment",40694.59
"133","Pharmacist","Cotton Patch Cafe",47000
"134","Pharmacist","Crowe, Chizek and Company LLP",56000
"135","Pharmacist","Circlek",42000
"136","Pharmacist","Caterpillar, Inc.",64964.07
"137","Pharmacist","Cintas Corporation",49400
"138","Pharmacist","WestRock Company",57065.64
"139","Pharmacist","Tribune Co",50153.98
"140","Pharmacist","Adelphoi Village, Inc",NA
"141","Pharmacist","B/E Aerospace Corporation",48494.85
"142","Pharmacist","Air Line Pilots Association",77000.65
"143","Pharmacist","Aetna, Inc.",47000
"144","Pharmacist","Kimpton Hotel & Restaurant Group, LLC",NA
"145","Pharmacist","Harte Hanks Inc",50987.67
"146","Pharmacist","Devon Energy Corporation",63700.03
"147","Pharmacist","Daktronics, Inc.",57593.75
"148","Pharmacist","EY (Ernst & Young)",59541.09
"149","Pharmacist","General Electric Co (GE)",55947.96
"150","Pharmacist","KPMG, LLP",58503.17
"151","Pharmacist","Abc Corp.",51204.25
"152","Pharmacist","Waste Management, Inc.",53685.61
"153","Pharmacist","InfoSync Services",44761.29
"154","Pharmacist","Robert Half International Inc.",55060.06
"155","Pharmacist","Dermatology Associates of West Michigan",41382.92
"156","Pharmacist","Kaiser Permanente",61091.77
"157","Pharmacist","The Boeing Company",61491.54
"158","Pharmacist","Marathon Petroleum Company, LLC",61219.47
"159","Pharmacist","CliftonLarsonAllen",51569.16
"160","Pharmacist","Caesars Entertainment",43392.27
"161","Pharmacist","The Salvation Army",39515
"162","Pharmacist","Georgia-Pacific Corporation",56583.6
"163","Pharmacist","Deloitte & Touche LLP",62113.44
"164","Pharmacist","Accountemps",58429.48
"165","Pharmacist","John Zidian Co",41187.39
"166","Pharmacist","CBRE Group",48979.59
"167","Pharmacist","Cargill",58026.7
"168","Pharmacist","Lockheed Martin Corp",58608.46
"169","Pharmacist","Nelnet, Incorporated",50980.15
"170","Pharmacist","Deloitte",58429.48
"171","Pharmacist","Vital Farms",54498.86
"172","Pharmacist","UnitedHealth Group",55956.26
"173","Pharmacist","Tech Data Corporation",42000
"174","Pharmacist","Surgical Care Affiliates",46482.01
"175","Pharmacist","Archway Marketing Services, Inc.",NA
"176","Pharmacist","Ecolab, Inc.",55804.02
"177","Pharmacist","Enterprise Products Company",66865.67
"178","Pharmacist","Servpro Industries, Inc.",46800
"179","Pharmacist","SS&C Technologies, Inc.",43515.78
"180","Pharmacist","Zions Bancorporation",58011.16
"181","Pharmacist","Central National Bank",51165.11
"182","Pharmacist","California State University, Los Angeles (CSULA)",51565.49
"183","Pharmacist","Rubinbrown, Llp",53000
"184","Pharmacist","doTERRA International, LLC",53000
"185","Pharmacist","General Atomics",62266.7
"186","Pharmacist","Enervest Operating LLC",41463.45
"187","Pharmacist","Kearney & Company",63600
"188","Pharmacist","Self-Employed",NA
"189","Pharmacist","Property Management, Inc.",NA
"190","Pharmacist","R.R. Donnelley & Sons Company",48474.53
"191","Pharmacist","PricewaterhouseCoopers",62500
"192","Pharmacist","Northrop Grumman Corporation",55955.06
"193","Pharmacist","Panda Restaurant Group, Inc.",56029.78
"194","Pharmacist","Bkd, Llp",48594.95
"195","Pharmacist","Auto-Owners Insurance Company",47250
"196","Pharmacist","CenturyLink",36900
"197","Pharmacist","Caterpillar, Inc.",63060.33
"198","Pharmacist","City of Jacksonville",43926.03
"199","Pharmacist","Cache Valley Electric",NA
"200","Pharmacist","Defense Finance and Accounting Services",66424
"201","Pharmacist","Diplomat Specialty Pharmacy Corporation",62080.5
"202","Pharmacist","XYZ Corp.",65000
"203","Pharmacist","University of Utah",48400
"204","Pharmacist","Tyson Foods, Inc.",52725
"205","Pharmacist","Starbucks Corporation",56982.46
"206","Pharmacist","Spectrum",46581.76
"207","Pharmacist","The Bank of New York Mellon Corporation (BNY Mellon)",46000
"208","Pharmacist","Healthpartners, Inc",48448.02
"209","Pharmacist","Cushman & Wakefield, Inc.",51139.35
"210","Pharmacist","Bridge Housing Corporation",NA
"211","Pharmacist","Amazon.com Inc",99157.13
"212","Pharmacist","Weyerhaeuser Company",53512.63
"213","Pharmacist","University of New Mexico (UNM)",52293
"214","Pharmacist","University of Minnesota",NA
"215","Pharmacist","T-Mobile, Inc.",NA
"216","Pharmacist","State of Tennessee (TN)",43184.5
"217","Pharmacist","Radiology Ltd.",NA
"218","Pharmacist","Wells Fargo & Co.",57200
"219","Pharmacist","Airrosti",47647.5
"220","Pharmacist","Blue Cross and Blue Shield of Illinois, Inc. (BCBSIL)",51414.69
"221","Pharmacist","Aramark Corporation",43000
"222","Pharmacist","Chesapeake Utilities",50000
"223","Pharmacist","East West Bank Corp",52079.66
"224","Pharmacist","Grant Thornton Llp",54930.43
"225","Pharmacist","Elevations Federal Credit Union",NA
"226","Pharmacist","Flint Hills Resources",56336.27
"227","Pharmacist","Terex Corporation",55672.15
"228","Pharmacist","Thermo Fisher Scientific, Inc.",48540
"229","Pharmacist","Transamerica",37640
"230","Pharmacist","Turner Construction Company",61227.4
"231","Pharmacist","Sumitomo Mitsui Banking Corporation",50000
"232","Pharmacist","Surgery Partners",41711.96
"233","Pharmacist","Southern Company",59000.5
"234","Pharmacist","SYSCO Corporation",53002.8
"235","Pharmacist","Taylor Corp.",42978.4
"236","Pharmacist","U.S. Internal Revenue Service (IRS)",63615.14
"237","Pharmacist","The City of Philadelphia",45500
"238","Pharmacist","The Hertz Corporation",47154.86
"239","Pharmacist","Valero Energy Corp",53719.13
"240","Pharmacist","Voya Financial, Inc.",56871.82
"241","Pharmacist","Miller Electric Company",65000
"242","Pharmacist","Metal Flow Corporation",45958.68
"243","Pharmacist","Indian Springs Golf and Country Club",NA
"244","Pharmacist","Divaris Real Estate",52000
"245","Pharmacist","Domino's Pizza",52143.36
"246","Pharmacist","Farm Bureau Insurance Company",46500
"247","Pharmacist","FirstService Residential",47500
"248","Pharmacist","FIS",49494.95
"249","Pharmacist","Floyd Snider",52041.12
"250","Pharmacist","Freeport-McMoRan Copper & Gold Inc",60827.59
"251","Pharmacist","GAC Chemical Corporation",NA
"252","Pharmacist","Gannett Co Inc",47647.19
"253","Pharmacist","Gavilon",52000
"254","Pharmacist","City of St. Louis",51174.01
"255","Pharmacist","Charter Communications, Inc.",45000
"256","Pharmacist","CHS, Inc.",50000
"257","Pharmacist","Becton, Dickinson and Company",61176.47
"258","Pharmacist","Bench Accounting, Inc.",47500
"259","Pharmacist","A & A Telecom",46675.17
"260","Pharmacist","American Axle and Manufacturing, Inc.",NA
"261","Pharmacist","Asset Plus Companies",40000
"262","Pharmacist","Blue Cross and Blue Shield of South Carolina, Inc. (BCBSSC)",42685.71
"263","Pharmacist","Not Named",NA
"264","Pharmacist","New York City Ballet",50029.08
"265","Pharmacist","Noble Energy, Inc.",64000
"266","Pharmacist","Northland Communications",NA
"267","Pharmacist","Promega Corporation",46413.98
"268","Pharmacist","Partners Healthcare Inc",46156.86
"269","Pharmacist","Premier, Inc.",38000
"270","Pharmacist","Price Waterhouse Cooper Ltd",54500
"271","Pharmacist","Re/Max Real Estate",47284.75
"272","Pharmacist","Kinder Morgan Inc.",72781.63
"273","Pharmacist","KPMG International",86000
"274","Pharmacist","Marathon Oil Corporation",63350
"275","Pharmacist","Leidos",NA
"276","Pharmacist","J.P. Morgan Chase & Co. (JPMCC)",47857.15
"277","Pharmacist","Jackson Lewis Llp",49131.76
"278","Pharmacist","Jones Lang LaSalle",60000
"279","Pharmacist","Fort Wayne Dermatology",53500
"280","Pharmacist","VF Corporation",65000
"281","Pharmacist","United Parcel Service (UPS), Inc.",NA
"282","Pharmacist","Eide Bailly, Llp",48500
"283","Pharmacist","Harris Teeter, Inc.",NA
"284","Pharmacist","University of California at Los Angeles (UCLA)",NA
"285","Pharmacist","Infor Global Solutions",50868.24
"286","Pharmacist","Parsons Corporation",NA
"287","Pharmacist","Enterprise Rent-A-Car Co",NA
"288","Pharmacist","Airgas, Inc.",45990
"289","Pharmacist","Lockheed Martin Corp",61535.42
"290","Pharmacist","J.P. Morgan Chase & Co. (JPMCC)",65469.17
"291","Pharmacist","Amazon.com Inc",78583.14
"292","Pharmacist","Raytheon Co.",61146.97
"293","Pharmacist","Booz, Allen, and Hamilton",68795.66
"294","Pharmacist","Northrop Grumman Corporation",66872.1
"295","Pharmacist","The Boeing Company",69021.28
"296","Pharmacist","The Goldman Sachs Group, Inc.",62650.88
"297","Pharmacist","International Business Machines (IBM) Corp.",59139.38
"298","Pharmacist","Kaiser Permanente",74486
"299","Pharmacist","Wells Fargo & Co.",66734.39
"300","Pharmacist","Allstate",59095.79
"301","Pharmacist","Deloitte",66085.46
"302","Pharmacist","Morgan Stanley",62992.73
"303","Pharmacist","Bank of America Corp. (BOFA)",63918.23
"304","Pharmacist","ExxonMobil Corporation",85638.61
"305","Pharmacist","Apple Computer, Inc",99276.4
"306","Pharmacist","CBRE Group",62207.94
"307","Pharmacist","Siemens",71793.45
"308","Pharmacist","L-3 Communications",63328.04
"309","Pharmacist","Thermo Fisher Scientific, Inc.",66425.18
"310","Pharmacist","Centene Corporation",57999.92
"311","Pharmacist","Comcast Cable, Inc.",62758.45
"312","Pharmacist","Aetna, Inc.",57870.77
"313","Pharmacist","Credit Suisse",57428.64
"314","Pharmacist","Citigroup, Inc.",51842.28
"315","Pharmacist","Cummins, Inc.",60480.73
"316","Pharmacist","Jones Lang LaSalle",61212.9
"317","Pharmacist","U.S. Bank",60253.83
"318","Pharmacist","Viasat, Inc.",59244.78
"319","Pharmacist","Leidos",61344.82
"320","Pharmacist","Harris Corporation",63421.08
"321","Pharmacist","Fidelity Investments",61331.06
"322","Pharmacist","Citibank",65984.85
"323","Pharmacist","EY (Ernst & Young)",60000
"324","Pharmacist","M&T Bank Corp",57391.3
"325","Pharmacist","Nordstrom, Inc.",61581.48
"326","Pharmacist","Schneider Electric Ltd",60725.36
"327","Pharmacist","Parallon Business Solutions",59684.57
"328","Pharmacist","Verizon Communications, Inc.",48039.85
"329","Pharmacist","Stryker Corp.",61354.65
"330","Pharmacist","The Bank of New York Mellon Corporation (BNY Mellon)",56892.41
"331","Pharmacist","Union Bank",72350.11
"332","Pharmacist","Chevron Corporation",90546.14
"333","Pharmacist","Best Buy",54721.86
"334","Pharmacist","Applied Materials Inc",69137.43
"335","Pharmacist","AmerisourceBergen Corp.",60964.59
"336","Pharmacist","BAE Systems Inc.",61199.66
"337","Pharmacist","Humana, Inc.",55440.76
"338","Pharmacist","United Parcel Service (UPS), Inc.",65836.56
"339","Pharmacist","The PNC Financial Services Group, Inc.",55000
"340","Pharmacist","Wells Fargo Bank",65496.18
"341","Pharmacist","Park Nicollet Health Services",69410.27
"342","Pharmacist","Cushman & Wakefield, Inc.",65000
"343","Pharmacist","Autism Learning Partners",63500
"344","Pharmacist","Blackrock, Inc.",70000
"345","Pharmacist","Cisco Systems Inc",75951.85
"346","Pharmacist","Crown Castle International Corp",60073.52
"347","Pharmacist","BDP International, Inc.",52884.18
"348","Pharmacist","American Tower Corporation",64817.83
"349","Pharmacist","American Airlines",60087.17
"350","Pharmacist","Dell, Inc.",67565.47
"351","Pharmacist","FRETTE",65000
"352","Pharmacist","Johnson & Johnson",62400
"353","Pharmacist","General Electric Co (GE)",67273
"354","Pharmacist","Goldman Sachs JBWere",57391.3
"355","Pharmacist","Merrill Lynch & Co Inc",57288.54
"356","Pharmacist","KeyBank",55306.83
"357","Pharmacist","The Northwestern Mutual Life Insurance Company",61445.11
"358","Pharmacist","Tyson Foods, Inc.",70000
"359","Pharmacist","UnitedHealth Group",58764.9
"360","Pharmacist","The Northern Trust Company",50971.41
"361","Pharmacist","The Ayco Company",54044.94
"362","Pharmacist","Unum Group",52071.91
"363","Pharmacist","Nestles'",74500
"364","Pharmacist","NBCUniversal Media LLC.",60186.87
"365","Pharmacist","Intel Corporation",66559.79
"366","Pharmacist","Federal Express Corporation (FedEx)",64633.2
"367","Pharmacist","Ecolab, Inc.",60000
"368","Pharmacist","Ally Financial Inc.",65139.49
"369","Pharmacist","Accenture",61955.05
"370","Pharmacist","ConAgra Foods Inc.",65065.9
"371","Pharmacist","CenturyLink",61500
"372","Pharmacist","Equifax Inc",56000
"373","Pharmacist","Indiana University (IU) Health",50506.69
"374","Pharmacist","HCA, Inc.",66360.17
"375","Pharmacist","L3Harris",69241.88
"376","Pharmacist","PepsiCo Inc",65887.91
"377","Pharmacist","Phillips 66",75468.11
"378","Pharmacist","Starbucks Corporation",71053.42
"379","Pharmacist","State of Michigan (MI)",65000
"380","Pharmacist","TIAA-CREF",69341.55
"381","Pharmacist","The Walt Disney Company",65496.18
"382","Pharmacist","United Technologies Corporation",62690.47
"383","Pharmacist","United Airlines, Inc.",64429.06
"384","Pharmacist","University of Texas Southwestern Medical Center at Dallas",56486.35
"385","Pharmacist","Viewpoint Construction Software",65694.07
"386","Pharmacist","Wells Fargo & Company",67682.66
"387","Pharmacist","Verizon Business Inc.",47832.88
"388","Pharmacist","Shell Oil Company",83278.19
"389","Pharmacist","Schlumberger",67734.97
"390","Pharmacist","Oracle Corp.",66000
"391","Pharmacist","Raytheon Missile Systems",67235.33
"392","Pharmacist","Lockheed Martin Aeronautics Company",65193.97
"393","Pharmacist","Google, Inc.",102000
"394","Pharmacist","Duke Energy Corp",63137.39
"395","Pharmacist","Dyncorp International",56404.52
"396","Pharmacist","CVS Caremark Corporation",53062.3
"397","Pharmacist","FIS",56447.42
"398","Pharmacist","CBS Corporation",55546.72
"399","Pharmacist","Bloomberg LP",69237.72
"400","Pharmacist","Airgas, Inc.",62200.76
"401","Pharmacist","Aecom Corporation",75000
"402","Pharmacist","Bell Helicopter Textron Inc.",66253.79
"403","Pharmacist","Bank of America Corporation",68985.51
"404","Pharmacist","AT&T Inc.",81389.19
"405","Pharmacist","American Express Co. (AMEX)",69320.58
"406","Pharmacist","BMO Financial Group",61550.57
"407","Pharmacist","Carilion Clinic",41265.07
"408","Pharmacist","BDO Seidman, LLP",59143.56
"409","Pharmacist","General Dynamics Corp.",67877.99
"410","Pharmacist","Entergy Corp",75305.7
"411","Pharmacist","Exelon Corporation",69095.44
"412","Pharmacist","Darden Restaurant Group",64500
"413","Pharmacist","DaVita Inc.",66117.78
"414","Pharmacist","KBR",53000
"415","Pharmacist","Kraft Foods, Inc.",55955.06
"416","Pharmacist","Quest Diagnostics",66520.73
"417","Pharmacist","Santander",50868.24
"418","Pharmacist","Salesforce.com, Inc.",73500
"419","Pharmacist","Sharp Healthcare",76327.58
"420","Pharmacist","Wells Fargo Financial",74922.46
"421","Pharmacist","The Vanguard Group",52560
"422","Pharmacist","Trinity Health",60750
"423","Pharmacist","The Home Depot Inc.",62465.06
"424","Pharmacist","The Ayco Company, Lp",51240.77
"425","Pharmacist","Tenet Healthcare Corporation",64414.98
"426","Pharmacist","Sherwin Williams Co.",67628.11
"427","Pharmacist","State Farm Insurance Company",69338.7
"428","Pharmacist","Prudential",60815.67
"429","Pharmacist","NYU Medical Center",65520
"430","Pharmacist","Oracle",52500
"431","Pharmacist","PennyMac",60000
"432","Pharmacist","LPL Financial",65000
"433","Pharmacist","MEDNAX",51697.39
"434","Pharmacist","Macy's, Inc.",60488.68
"435","Pharmacist","Microsoft Corp",74964.32
"436","Pharmacist","Midfirst Bank",53512.63
"437","Pharmacist","NRG Energy, Inc.",65000
"438","Pharmacist","Kellogg Co",59775.09
"439","Pharmacist","GlaxoSmithKline",63418.87
"440","Pharmacist","General Dynamics Information Technology Inc",63234.98
"441","Pharmacist","Hewlett Packard Enterprise",55000
"442","Pharmacist","DCP Midstream",56812.05
"443","Pharmacist","Disability Services of the Southwest",40571.48
"444","Pharmacist","Dish Network Corporation",58958.11
"445","Pharmacist","Express Scripts Incorporated",55000
"446","Pharmacist","Ford Motor Company",61074.85
"447","Pharmacist","Clover Technologies Group, Llc.",49880.28
"448","Pharmacist","Baxter International Inc",59978.75
"449","Pharmacist","AON Corporation",55989.37
"450","Pharmacist","Ameriprise Financial, Inc.",52184.47
"451","Pharmacist","Anthem",61600
"452","Pharmacist","Arthur J. Gallagher & Company",63984.38
"453","Pharmacist","Ascension Health",68784.46
"454","Pharmacist","AXA Advisors LLC",48000
"455","Pharmacist","Allstate Insurance Company",54988.46
"456","Pharmacist","Covance, Inc",53840.53
"457","Pharmacist","Chrysler Group LLC.",70762.16
"458","Pharmacist","Canon USA, Inc.",64190.08
"459","Pharmacist","Carter's Childrenswear",55955.06
"460","Pharmacist","Fiserv Inc",61962.85
"461","Pharmacist","Harman International",57993.45
"462","Pharmacist","Hilton Grand Vacations Company",60000
"463","Pharmacist","Georgetown University",56566.07
"464","Pharmacist","Georgia-Pacific Corporation",54387.59
"465","Pharmacist","Gracenote",71328.67
"466","Pharmacist","International Game Technology (IGT)",58981.9
"467","Pharmacist","Millercoors",67625
"468","Pharmacist","NCR Corp",57377.08
"469","Pharmacist","Nationwide Mutual Insurance Company",53800
"470","Pharmacist","Mutual of Omaha",54702.54
"471","Pharmacist","National Life Group",50000
"472","Pharmacist","Mayo Clinic",65525.97
"473","Pharmacist","Melaleuca Incorporated",60964.19
"474","Pharmacist","Lennar Corporation",55000
"475","Pharmacist","Orbital ATK",66750
"476","Pharmacist","New York Presbyterian Hospital",66168.1
"477","Pharmacist","Stanley, Inc.",55462.7
"478","Pharmacist","Southern Company",70000
"479","Pharmacist","Sprint Nextel Corporation",52432.36
"480","Pharmacist","Sealed Air Corporation",55000
"481","Pharmacist","Texas Children's Hospital",60599.42
"482","Pharmacist","SunTrust Banks Inc.",57077.38
"483","Pharmacist","TE Connectivity, Ltd.",72324.54
"484","Pharmacist","T-Mobile, Inc.",55000
"485","Pharmacist","University of Washington (UW)",80057.92
"486","Pharmacist","Zurich North America",64964.07
"487","Pharmacist","Zions Bancorporation",72038.73
"488","Pharmacist","Westlake Financial Services",54848.26
"489","Pharmacist","Willis Towers Watson",58983.05
"490","Pharmacist","World of Homes",NA
"491","Pharmacist","U.S. Air Force (USAF)",115000
"492","Pharmacist","U.S. Federal Reserve",59000
"493","Pharmacist","Tech Data Corporation",48979.59
"494","Pharmacist","TCF Bank",55670
"495","Pharmacist","Symantec Corporation",55955.06
"496","Pharmacist","Teradyne, Incorporated",74100
"497","Pharmacist","Textron, Inc.",63638.42
"498","Pharmacist","The Chubb Corporation",57100
"499","Pharmacist","Santee Cooper",74132.16
"500","Pharmacist","Red Spot Paint",50661
"501","Pharmacist","Robert Half International Inc.",47000
"502","Pharmacist","St. Hope Public Schools",52337.02
"503","Pharmacist","Standard & Poor's",65000
"504","Pharmacist","Stanford Hospital and Clinics",75000
"505","Pharmacist","Situs",32269.21
"506","Pharmacist","Postlethwaite & Netterville",NA
"507","Pharmacist","Rabo Agrifinance, Inc.",63500
"508","Pharmacist","Memorial Hermann Healthcare System",51500
"509","Pharmacist","Mercer LLC",58190.43
"510","Pharmacist","Masco Corporation",59950.41
"511","Pharmacist","National Oilwell Varco",50000
"512","Pharmacist","NASDAQ",65000
"513","Pharmacist","mindWireless",38500
"514","Pharmacist","Northwell Health",52393.59
"515","Pharmacist","Norwegian Cruise Lines",57080.46
"516","Pharmacist","NextEra Energy, Inc.",62000
"517","Pharmacist","Nike, Inc.",61992.86
"518","Pharmacist","Integrated Dna Technologies, Inc",56329.47
"519","Pharmacist","ICF International",65000
"520","Pharmacist","Horace Mann",45603.99
"521","Pharmacist","Hospital Corporation of America",59495.8
"522","Pharmacist","Greystar",55000
"523","Pharmacist","Groupon, Inc.",63376
"524","Pharmacist","GLOBALFOUNDRIES Inc.",61176.47
"525","Pharmacist","General Motors Corporation",70708.3
"526","Pharmacist","Highland Homes, Ltd",67249.07
"527","Pharmacist","Healogics, Inc.",57420.45
"528","Pharmacist","FLEETCOR",60000
"529","Pharmacist","Expedia, Inc.",66546.04
"530","Pharmacist","Fannie Mae Corporation",80000
"531","Pharmacist","FCA Corp",68400
"532","Pharmacist","Federal Home Loan Bank of San Francisco",75000
"533","Pharmacist","FedEx Ground",70000
"534","Pharmacist","Columbia University",57117.9
"535","Pharmacist","Duke University",61041.89
"536","Pharmacist","Cenlar Fsb",53250
"537","Pharmacist","BMO - Bank of Montreal",66128.71
"538","Pharmacist","Bridgestone Americas",94500
"539","Pharmacist","Cigna Corporation",68163.44
"540","Pharmacist","Cargill",67619.03
"541","Pharmacist","Clearwater Analytics",51000
"542","Pharmacist","American Axle and Manufacturing, Inc.",51636.88
"543","Pharmacist","3M Company",71000
"544","Pharmacist","Abbott Laboratories",62125.34
"545","Pharmacist","Banner Health",45494.51
"546","Pharmacist","Avad LLC",56250
"547","Pharmacist","Arrow Electronics Inc",66223.39
"548","Pharmacist","AON Inc",55268.75
"549","Pharmacist","Anadarko Petroleum Corp",80376.71
"550","Pharmacist","Anixter, Inc.",58265.07
"551","Pharmacist","Aramark",55000
"552","Pharmacist","ArcelorMittal",67430
"553","Pharmacist","Arconic",77500
"554","Pharmacist","Baker Tilly Virchow Krause, LLP",67250
"555","Pharmacist","Bank of The West",67664.35
"556","Pharmacist","Belle Tire",63000
"557","Pharmacist","Abbvie, Inc",63577.16
"558","Pharmacist","Abc Corp.",55000
"559","Pharmacist","Abercrombie & Fitch Co",63750
"560","Pharmacist","Accruent",49910.04
